To request GPUs, add --gpus-per-node X or --gpus X, where X is the desired number of GPUs.
Job 107705 running on easley[017-018]
On-NUMA Ping-Pong:
Size 8388608: 2.557340e-03
Size 16777216: 5.358834e-03

Active Procs: 8
Size 1: 4.247840e-07
Size 2: 4.214354e-07
Size 4: 4.200708e-07
Size 8: 4.230982e-07
Size 16: 4.212966e-07
Size 32: 5.099922e-07
Size 64: 5.169415e-07
Size 128: 7.943317e-07
Size 256: 8.721057e-07
Size 512: 1.075974e-06
Size 1024: 1.356000e-06
Size 2048: 1.777847e-06
Size 4096: 2.545067e-06
Size 8192: 3.889020e-06
Size 16384: 6.629044e-06
Size 32768: 1.107373e-05
Size 65536: 1.682162e-05
Size 131072: 2.681742e-05
Size 262144: 1.870492e-04
Size 524288: 3.698945e-04
Size 1048576: 7.434312e-04
Size 2097152: 1.519648e-03
Size 4194304: 3.140487e-03
Size 8388608: 6.351863e-03
Size 16777216: 1.260562e-02

Active Procs: 16
Size 1: 4.310201e-07
Size 2: 4.256489e-07
Size 4: 4.236062e-07
Size 8: 4.267325e-07
Size 16: 4.243315e-07
Size 32: 4.980355e-07
Size 64: 5.127515e-07
Size 128: 8.014837e-07
Size 256: 8.545383e-07
Size 512: 1.051897e-06
Size 1024: 1.345975e-06
Size 2048: 1.780348e-06
Size 4096: 2.593983e-06
Size 8192: 3.936342e-06
Size 16384: 6.692325e-06
Size 32768: 1.119731e-05
Size 65536: 1.701795e-05
Size 131072: 2.722755e-05
Size 262144: 2.777058e-04
Size 524288: 5.515555e-04
Size 1048576: 1.117309e-03
Size 2097152: 2.398222e-03
Size 4194304: 4.949688e-03
Size 8388608: 1.041741e-02
Size 16777216: 2.111932e-02

Active Procs: 32
Size 1: 4.381508e-07
Size 2: 4.164121e-07
Size 4: 4.061004e-07
Size 8: 4.093819e-07
Size 16: 4.089664e-07
Size 32: 4.911106e-07
Size 64: 5.254704e-07
Size 128: 7.970408e-07
Size 256: 8.418928e-07
Size 512: 9.960678e-07
Size 1024: 1.319750e-06
Size 2048: 1.730031e-06
Size 4096: 2.690933e-06
Size 8192: 5.008027e-06
Size 16384: 9.042365e-06
Size 32768: 1.689029e-05
Size 65536: 2.866370e-05
Size 131072: 4.610757e-05
Size 262144: 4.200703e-04
Size 524288: 8.272424e-04
Size 1048576: 1.693203e-03
Size 2097152: 3.642959e-03
Size 4194304: 7.814188e-03
Size 8388608: 1.606233e-02
Size 16777216: 3.248973e-02

Off-Node MultiProc Ping-Pong:
Active Procs: 1
Size 1: 2.910697e-06
Size 2: 2.903696e-06
Size 4: 2.910371e-06
Size 8: 2.906923e-06
Size 16: 2.899509e-06
Size 32: 2.923352e-06
Size 64: 2.954284e-06
Size 128: 3.013585e-06
Size 256: 3.524499e-06
Size 512: 3.712187e-06
Size 1024: 3.915768e-06
Size 2048: 5.412428e-06
Size 4096: 6.477243e-06
Size 8192: 8.392099e-06
Size 16384: 1.209423e-05
Size 32768: 1.677814e-05
Size 65536: 2.184010e-05
Size 131072: 3.153321e-05
Size 262144: 3.280224e-05
Size 524288: 5.411048e-05
Size 1048576: 9.675896e-05
Size 2097152: 1.818639e-04
Size 4194304: 3.521771e-04
Size 8388608: 6.931638e-04
Size 16777216: 1.374648e-03

Active Procs: 2
Size 1: 3.342677e-06
Size 2: 3.342892e-06
Size 4: 3.343519e-06
Size 8: 3.344777e-06
Size 16: 3.337714e-06
Size 32: 3.365580e-06
Size 64: 3.572867e-06
Size 128: 3.613964e-06
Size 256: 4.324134e-06
Size 512: 4.392890e-06
Size 1024: 4.562065e-06
Size 2048: 6.112132e-06
Size 4096: 7.263826e-06
Size 8192: 9.187492e-06
Size 16384: 1.292670e-05
Size 32768: 1.783228e-05
Size 65536: 2.329331e-05
Size 131072: 3.301700e-05
Size 262144: 3.945113e-05
Size 524288: 6.792562e-05
Size 1048576: 1.265129e-04
Size 2097152: 3.456981e-04
Size 4194304: 6.868510e-04
Size 8388608: 1.367934e-03
Size 16777216: 2.730858e-03

Active Procs: 4
Size 1: 3.340179e-06
Size 2: 3.341064e-06
Size 4: 3.341494e-06
Size 8: 3.342780e-06
Size 16: 3.334234e-06
Size 32: 3.360933e-06
Size 64: 3.572941e-06
Size 128: 3.623573e-06
Size 256: 4.316705e-06
Size 512: 4.394220e-06
Size 1024: 4.579565e-06
Size 2048: 6.132080e-06
Size 4096: 7.289023e-06
Size 8192: 9.350593e-06
Size 16384: 1.337105e-05
Size 32768: 1.913383e-05
Size 65536: 2.583671e-05
Size 131072: 3.794643e-05
Size 262144: 8.950186e-05
Size 524288: 9.485639e-05
Size 1048576: 1.813590e-04
Size 2097152: 3.610932e-04
Size 4194304: 7.413775e-04
Size 8388608: 1.419316e-03
Size 16777216: 2.984322e-03

Active Procs: 8
Size 1: 3.338176e-06
Size 2: 3.332994e-06
Size 4: 3.335036e-06
Size 8: 3.335061e-06
Size 16: 3.327498e-06
Size 32: 3.357003e-06
Size 64: 3.576401e-06
Size 128: 3.626334e-06
Size 256: 4.360732e-06
Size 512: 4.396611e-06
Size 1024: 4.594262e-06
Size 2048: 6.129196e-06
Size 4096: 7.328642e-06
Size 8192: 9.699082e-06
Size 16384: 1.427883e-05
Size 32768: 2.273438e-05
Size 65536: 3.097783e-05
Size 131072: 4.939998e-05
Size 262144: 9.406718e-05
Size 524288: 1.762330e-04
Size 1048576: 3.543937e-04
Size 2097152: 7.005844e-04
Size 4194304: 1.469671e-03
Size 8388608: 2.946899e-03
Size 16777216: 8.100260e-03

Active Procs: 16
Size 1: 3.376996e-06
Size 2: 3.379872e-06
Size 4: 3.380788e-06
Size 8: 3.380526e-06
Size 16: 3.376798e-06
Size 32: 3.403227e-06
Size 64: 3.666413e-06
Size 128: 3.696904e-06
Size 256: 4.569759e-06
Size 512: 5.159640e-06
Size 1024: 5.095436e-06
Size 2048: 6.463164e-06
Size 4096: 7.809475e-06
Size 8192: 1.014110e-05
Size 16384: 1.562652e-05
Size 32768: 2.965044e-05
Size 65536: 4.693561e-05
Size 131072: 8.831804e-05
Size 262144: 1.748529e-04
Size 524288: 3.551725e-04
Size 1048576: 6.982840e-04
Size 2097152: 1.440041e-03
Size 4194304: 3.501512e-03
Size 8388608: 8.276230e-03
Size 16777216: 1.756311e-02

Active Procs: 32
Size 1: 3.649938e-06
Size 2: 6.475353e-06
Size 4: 5.796851e-06
Size 8: 4.709907e-06
Size 16: 4.192225e-06
Size 32: 3.682752e-06
Size 64: 2.501547e-05
Size 128: 2.943440e-05
Size 256: 2.950708e-05
Size 512: 3.058749e-05
Size 1024: 3.191601e-05
Size 2048: 7.293567e-06
Size 4096: 8.638013e-06
Size 8192: 1.201119e-05
Size 16384: 2.264161e-05
Size 32768: 4.755118e-05
Size 65536: 9.075447e-05
Size 131072: 1.783934e-04
Size 262144: 3.482474e-04
Size 524288: 6.924555e-04
Size 1048576: 1.384854e-03
Size 2097152: 2.776880e-03
Size 4194304: 5.735030e-03
Size 8388608: 1.200569e-02
Size 16777216: 2.750938e-02

Active Procs: 64
Size 1: 4.863255e-06
Size 2: 1.463045e-05
Size 4: 1.362048e-05
Size 8: 2.760612e-05
Size 16: 1.524374e-05
Size 32: 3.354322e-05
Size 64: 6.054670e-05
Size 128: 6.015796e-05
Size 256: 6.127045e-05
Size 512: 6.268606e-05
Size 1024: 6.922827e-05
Size 2048: 1.048692e-05
Size 4096: 1.714910e-05
Size 8192: 2.288836e-05
Size 16384: 4.451378e-05
Size 32768: 9.713520e-05
Size 65536: 1.747812e-04
Size 131072: 3.482583e-04
Size 262144: 6.970485e-04
Size 524288: 1.385848e-03
Size 1048576: 2.778624e-03
Size 2097152: 5.599049e-03
Size 4194304: 1.159283e-02
Size 8388608: 2.637176e-02
Size 16777216: 6.266292e-02

On-NUMA MultiProc Ping-Pong, All NUMAs Active:
Active Procs: 1
Size 1: 4.272546e-07
Size 2: 4.258194e-07
Size 4: 4.278621e-07
Size 8: 4.301186e-07
Size 16: 4.294510e-07
Size 32: 5.186799e-07
Size 64: 5.248055e-07
Size 128: 8.150704e-07
Size 256: 8.850485e-07
Size 512: 1.087781e-06
Size 1024: 1.390154e-06
Size 2048: 1.821574e-06
Size 4096: 2.533990e-06
Size 8192: 3.914071e-06
Size 16384: 6.611611e-06
Size 32768: 1.092661e-05
Size 65536: 1.651072e-05
Size 131072: 2.677917e-05
Size 262144: 2.659538e-05
Size 524288: 4.983187e-05
Size 1048576: 1.272942e-04
Size 2097152: 4.180625e-04
Size 4194304: 8.329574e-04
Size 8388608: 1.904100e-03
Size 16777216: 5.116604e-03

Active Procs: 2
Size 1: 4.285046e-07
Size 2: 4.290501e-07
Size 4: 4.285852e-07
Size 8: 4.291335e-07
Size 16: 4.286328e-07
Size 32: 5.207827e-07
Size 64: 5.222120e-07
Size 128: 8.174087e-07
Size 256: 8.861123e-07
Size 512: 1.090766e-06
Size 1024: 1.394188e-06
Size 2048: 1.819769e-06
Size 4096: 2.535096e-06
Size 8192: 3.960223e-06
Size 16384: 6.658317e-06
Size 32768: 1.104742e-05
Size 65536: 1.656577e-05
Size 131072: 2.705566e-05
Size 262144: 2.663622e-05
Size 524288: 5.007455e-05
Size 1048576: 1.291088e-04
Size 2097152: 4.296676e-04
Size 4194304: 8.545082e-04
Size 8388608: 2.084701e-03
Size 16777216: 5.168764e-03

Active Procs: 4
Size 1: 4.295919e-07
Size 2: 4.263944e-07
Size 4: 4.276289e-07
Size 8: 4.270962e-07
Size 16: 4.280150e-07
Size 32: 5.177622e-07
Size 64: 5.214238e-07
Size 128: 8.320163e-07
Size 256: 8.790792e-07
Size 512: 1.091771e-06
Size 1024: 1.386747e-06
Size 2048: 1.812163e-06
Size 4096: 2.579541e-06
Size 8192: 3.969613e-06
Size 16384: 6.701187e-06
Size 32768: 1.109605e-05
Size 65536: 1.671531e-05
Size 131072: 2.710048e-05
Size 262144: 2.665495e-05
Size 524288: 5.051219e-05
Size 1048576: 1.308662e-04
Size 2097152: 4.404326e-04
Size 4194304: 1.060027e-03
Size 8388608: 2.680404e-03
Size 16777216: 5.949392e-03

Active Procs: 8
Size 1: 4.309576e-07
Size 2: 4.274076e-07
Size 4: 4.290830e-07
Size 8: 4.297013e-07
Size 16: 4.294772e-07
Size 32: 5.079340e-07
Size 64: 5.166062e-07
Size 128: 8.037739e-07
Size 256: 8.794089e-07
Size 512: 1.064436e-06
Size 1024: 1.374476e-06
Size 2048: 1.794672e-06
Size 4096: 2.634210e-06
Size 8192: 3.972234e-06
Size 16384: 6.727773e-06
Size 32768: 1.120845e-05
Size 65536: 1.686222e-05
Size 131072: 2.737644e-05
Size 262144: 2.695994e-05
Size 524288: 5.141339e-05
Size 1048576: 1.410822e-04
Size 2097152: 4.620779e-04
Size 4194304: 1.354378e-03
Size 8388608: 3.212955e-03
Size 16777216: 6.831089e-03

Active Procs: 16
Size 1: 4.269457e-07
Size 2: 4.132588e-07
Size 4: 4.152855e-07
Size 8: 4.238507e-07
Size 16: 4.156909e-07
Size 32: 5.025593e-07
Size 64: 4.946102e-07
Size 128: 7.607552e-07
Size 256: 8.219992e-07
Size 512: 1.008633e-06
Size 1024: 1.348762e-06
Size 2048: 1.741590e-06
Size 4096: 2.651502e-06
Size 8192: 4.894179e-06
Size 16384: 9.124589e-06
Size 32768: 1.692438e-05
Size 65536: 2.842726e-05
Size 131072: 4.588021e-05
Size 262144: 2.800722e-05
Size 524288: 5.168717e-05
Size 1048576: 1.442883e-04
Size 2097152: 6.307899e-04
Size 4194304: 1.962993e-03
Size 8388608: 4.488342e-03
Size 16777216: 9.462560e-03

On-Socket MultiProc Ping-Pong, All Sockets Active:
Active Procs: 1
Size 1: 4.302324e-07
Size 2: 4.299025e-07
Size 4: 4.274987e-07
Size 8: 4.298867e-07
Size 16: 4.287742e-07
Size 32: 5.192190e-07
Size 64: 5.243532e-07
Size 128: 8.162423e-07
Size 256: 8.818648e-07
Size 512: 1.091542e-06
Size 1024: 1.373651e-06
Size 2048: 1.822191e-06
Size 4096: 2.523207e-06
Size 8192: 3.911092e-06
Size 16384: 6.669093e-06
Size 32768: 1.103725e-05
Size 65536: 1.663813e-05
Size 131072: 2.696112e-05
Size 262144: 2.652172e-05
Size 524288: 4.992831e-05
Size 1048576: 1.279630e-04
Size 2097152: 4.178594e-04
Size 4194304: 8.337023e-04
Size 8388608: 1.905146e-03
Size 16777216: 5.115590e-03

Active Procs: 2
Size 1: 4.277653e-07
Size 2: 4.288339e-07
Size 4: 4.275686e-07
Size 8: 4.291196e-07
Size 16: 4.288476e-07
Size 32: 5.214252e-07
Size 64: 5.255376e-07
Size 128: 8.127111e-07
Size 256: 8.841139e-07
Size 512: 1.094910e-06
Size 1024: 1.406198e-06
Size 2048: 1.820315e-06
Size 4096: 2.538915e-06
Size 8192: 3.968987e-06
Size 16384: 6.710807e-06
Size 32768: 1.107055e-05
Size 65536: 1.665001e-05
Size 131072: 2.697717e-05
Size 262144: 2.688408e-05
Size 524288: 5.012843e-05
Size 1048576: 1.296134e-04
Size 2097152: 4.303702e-04
Size 4194304: 8.556514e-04
Size 8388608: 2.084848e-03
Size 16777216: 5.176845e-03

Active Procs: 4
Size 1: 4.287842e-07
Size 2: 4.273843e-07
Size 4: 4.284715e-07
Size 8: 4.280129e-07
Size 16: 4.290156e-07
Size 32: 5.207907e-07
Size 64: 5.221675e-07
Size 128: 8.055988e-07
Size 256: 8.832159e-07
Size 512: 1.082165e-06
Size 1024: 1.388209e-06
Size 2048: 1.820270e-06
Size 4096: 2.576400e-06
Size 8192: 3.962016e-06
Size 16384: 6.725199e-06
Size 32768: 1.110848e-05
Size 65536: 1.676765e-05
Size 131072: 2.708195e-05
Size 262144: 2.673565e-05
Size 524288: 5.073815e-05
Size 1048576: 1.311104e-04
Size 2097152: 4.438584e-04
Size 4194304: 1.064878e-03
Size 8388608: 2.687254e-03
Size 16777216: 5.947187e-03

Active Procs: 8
Size 1: 4.281143e-07
